domain,tld,ml_probability,source,features,is_dangerous_tld,has_brand,high_entropy,short_domain,entropy,domain_length,contains_brand
3tdvt.lat,lat,0.1372588,phishtank,dangerous_tld,True,False,False,False,2.6416041678685933,9.0,0.0
fincen-us.info,info,0.35696265,phishtank,,False,False,False,False,3.182005814760214,14.0,0.0
othertea.cn,cn,0.37765983,certificates,dangerous_tld,True,False,False,False,3.0957952550009344,11.0,0.0
radhix-mycqsarcb.top,top,0.43148085,jpcert,"dangerous_tld,high_entropy",True,False,True,False,4.021928094887362,20.0,0.0
ms-sharepoint-files-download.xyz,xyz,0.041009687,phishtank,"dangerous_tld,high_entropy",True,False,True,False,4.179229296672174,32.0,0.0
sh-ort.app,app,0.23660584,jpcert,,False,False,False,False,3.1219280948873624,10.0,0.0
archi.builders,builders,0.009317576,jpcert,,False,False,False,False,3.521640636343319,14.0,0.0
mtxympc.cn,cn,0.45863318,phishtank,dangerous_tld,True,False,False,False,2.9219280948873623,10.0,0.0
cvioz.cn,cn,0.05698232,phishtank,dangerous_tld,True,False,False,False,2.75,8.0,0.0
tracking.postlogistics.ch,ch,0.012024151,phishtank,,False,False,False,False,3.6430741894285696,25.0,0.0
dyyhj03.xyz,xyz,0.38517103,jpcert,dangerous_tld,True,False,False,False,3.027169118440619,11.0,0.0
bqbq.de,de,0.024672337,phishtank,short,False,False,False,True,2.2359263506290326,7.0,0.0
postbern.cc,cc,0.034437396,phishtank,dangerous_tld,True,False,False,False,3.277613436819116,11.0,0.0
mrw.so,so,0.016104069,certificates,short,False,False,False,True,2.584962500721156,6.0,0.0
ume.la,la,0.0107728625,phishtank,short,False,False,False,True,2.584962500721156,6.0,0.0
shresthasameerman.com.np,np,0.053221874,phishtank,,False,False,False,False,3.459147917027245,24.0,0.0
amzawszone.online,online,0.06376591,jpcert,dangerous_tld,True,False,False,False,3.337175341123077,17.0,0.0
villaandreas.gr,gr,0.038897917,phishtank,,False,False,False,False,3.3232314287976203,15.0,0.0
loli.tuidao.me,me,0.021628028,jpcert,,False,False,False,False,3.2359263506290334,14.0,0.0
dnbgyiengh.top,top,0.13099638,phishtank,dangerous_tld,True,False,False,False,3.521640636343319,14.0,0.0
depadovawest.com.ng,ng,0.37429017,jpcert,,False,False,False,False,3.7216117239699003,19.0,0.0
www.financeiro.vc,vc,0.48022154,phishtank,,False,False,False,False,3.3371753411230776,17.0,0.0
nimble.li,li,0.006956934,phishtank,,False,False,False,False,2.725480556997868,9.0,0.0
251az4.lat,lat,0.04240313,phishtank,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0
telepeage-impaye.info,info,0.4553267,phishtank,,False,False,False,False,3.553763114472245,21.0,0.0
834983.club,club,0.3606528,jpcert,,False,False,False,False,3.0957952550009344,11.0,0.0
vpasso.top,top,0.25934905,certificates,dangerous_tld,True,False,False,False,2.721928094887362,10.0,0.0
5eyvdyee.lat,lat,0.029982029,phishtank,dangerous_tld,True,False,False,False,3.0220552088742,12.0,0.0
logguscorretora.online,online,0.0756343,phishtank,dangerous_tld,True,False,False,False,3.51602764126623,22.0,0.0
veasf.cn,cn,0.20835146,phishtank,dangerous_tld,True,False,False,False,3.0,8.0,0.0
alruba.ae,ae,0.02324482,jpcert,,False,False,False,False,2.6416041678685933,9.0,0.0
lampein.cn,cn,0.022517689,jpcert,dangerous_tld,True,False,False,False,3.1219280948873624,10.0,0.0
wikireal.in,in,0.0068658455,phishtank,,False,False,False,False,3.027169118440619,11.0,0.0
estafetaqo.top,top,0.008174109,phishtank,dangerous_tld,True,False,False,False,3.039148671903071,14.0,0.0
jp-rakuten.net,net,0.06052117,jpcert,brand,False,True,False,False,3.378783493486176,14.0,1.0
maper.info,info,0.009871435,phishtank,,False,False,False,False,3.321928094887362,10.0,0.0
exteriornexoaca.shop,shop,0.10931873,phishtank,,False,False,False,False,3.546439344671015,20.0,0.0
aeon.wanbiquan.cn,cn,0.4843476,jpcert,dangerous_tld,True,False,False,False,3.2195282822995477,17.0,0.0
ouvih.cn,cn,0.21027407,jpcert,dangerous_tld,True,False,False,False,3.0,8.0,0.0
soilsta.co.za,za,0.16646221,jpcert,,False,False,False,False,3.085055102756477,13.0,0.0
expy.top,top,0.07660952,jpcert,dangerous_tld,True,False,False,False,2.75,8.0,0.0
u3l.co,co,0.016602853,phishtank,short,False,False,False,True,2.584962500721156,6.0,0.0
palby.info,info,0.128981,certificates,,False,False,False,False,3.321928094887362,10.0,0.0
amanon.ml,ml,0.3567895,certificates,dangerous_tld,True,False,False,False,2.5032583347756456,9.0,0.0
e9u.cc,cc,0.09039326,certificates,"dangerous_tld,,short",True,False,False,True,2.2516291673878226,6.0,0.0
2kje0t.top,top,0.48961848,phishtank,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0
short.bid,bid,0.034357484,phishtank,,False,False,False,False,3.169925001442312,9.0,0.0
zzhaoqn.cn,cn,0.034892477,jpcert,dangerous_tld,True,False,False,False,2.9219280948873623,10.0,0.0
7vah.top,top,0.15042616,phishtank,dangerous_tld,True,False,False,False,3.0,8.0,0.0
issiuk.com.cn,cn,0.05639025,jpcert,dangerous_tld,True,False,False,False,3.0850551027564768,13.0,0.0
1tftdctr2.lat,lat,0.2354559,phishtank,dangerous_tld,True,False,False,False,3.085055102756477,13.0,0.0
