domain,source,ml_probability,dns_resolves,http_status,looks_legit,legit_indicators
cytxule.sbs,jpcert,0.9850732684135437,False,,,
xxzxbw.com,jpcert,0.8714208006858826,True,503.0,,
verifyidmetaxportal.com,phishtank,0.9676126837730408,True,503.0,,
jwmx.cn,certificates,0.9809027910232544,False,,,
fiaqxfgrxxlh.xyz,jpcert,0.9402909278869629,True,503.0,,
starinternationalexports.com,jpcert,0.7020019888877869,False,,,
ntalog.info,jpcert,0.8087825775146484,False,,,
aezoe.com,certificates,0.7617636919021606,False,,,
254183.net,jpcert,0.9797348380088806,False,,,
wr5ssq.top,phishtank,0.9390949010848999,False,,,
haitaiyanggroup.com,certificates,0.9136679172515869,True,404.0,,
akonyekena.com,certificates,0.8683463931083679,False,,,
hamidi.sa.com,phishtank,0.9476395845413208,False,,,
isohcg.com,jpcert,0.9333611130714417,False,,,
hfjc.pages.dev,phishtank,0.987880527973175,True,503.0,,
xuqvu.icu,certificates,0.8479642271995544,False,,,
somatics.cn,jpcert,0.8996132016181946,False,,,
saiva.cn,jpcert,0.9001057147979736,True,503.0,,
bzjp2grz.top,certificates,0.9210734367370605,False,,,
nnnreblog.com,jpcert,0.9215231537818909,False,,,
decjia.com,certificates,0.9316694140434265,True,503.0,,
upglj5hi.top,jpcert,0.7812569737434387,False,,,
sps-jetz1.net,phishtank,0.9091078639030457,True,503.0,,
jiaodujiaoyucc.com,jpcert,0.7078151702880859,True,503.0,,
dahebuluo.com,certificates,0.9456596374511719,True,404.0,,
gcbtt.cn,phishtank,0.9469237327575684,True,503.0,,
uccard-mitfew.xmemf.cn,jpcert,0.987318217754364,True,503.0,,
pfqmj.cn,phishtank,0.9787294864654541,True,503.0,,
bataviaoutdoorlighting.com,certificates,0.9696713089942932,False,,,
everbrigotonics.com,certificates,0.9305903911590576,False,,,
corona-news.net,jpcert,0.9670025706291199,True,503.0,,
yoxkdd.cn,jpcert,0.7845998406410217,True,503.0,,
l40zic.cn,jpcert,0.7387896776199341,True,503.0,,
cyber-promise.com,jpcert,0.8758551478385925,False,,,
fhmld.cn,phishtank,0.9787294864654541,True,503.0,,
rotf.lol,jpcert,0.9432873129844666,True,403.0,,
kuronekoyamsjato.top,jpcert,0.829990029335022,False,,,
verification-amazon-yp.gq,jpcert,0.9856262803077698,False,,,
shjingchao.com,certificates,0.9118539094924927,True,520.0,,
eposcard.digital,jpcert,0.9833300709724426,False,,,
opennext.ru,jpcert,0.9442512392997742,False,,,
n-4.top,jpcert,0.9016246199607849,False,,,
inpmvyzrtirlaq.top,jpcert,0.9838084578514099,True,503.0,,
by1705.cn,jpcert,0.9858915209770203,True,503.0,,
nanfengnet.com,phishtank,0.9221452474594116,True,,,
mwrtoal.cn,certificates,0.9848284125328064,True,404.0,,
asupredental.com,phishtank,0.971481204032898,True,503.0,,
yingquanzw.com,certificates,0.9611909985542297,False,,,
manupandey.com,certificates,0.9263306856155396,True,200.0,True,about us|contact|privacy policy
astrologermarriagesolution.com,certificates,0.7455583214759827,False,,,
bbmiec.com,certificates,0.9797633290290833,True,503.0,,
kangfeipvc.com,certificates,0.9759407639503479,True,200.0,unknown,
42kmm.com,certificates,0.9775438904762268,False,,,
eustoneducation.co.uk,jpcert,0.9693961143493652,False,,,
biiotw.site,certificates,0.9650058746337891,False,,,
beingfaceless.com,certificates,0.9802579283714294,True,403.0,,
registration.bim.co.ua,phishtank,0.9874551296234131,True,503.0,,
ivzcfue.cn,certificates,0.9148464798927307,True,503.0,,
clubrush.cn,jpcert,0.966563880443573,True,503.0,,
gzxingwei.asia,jpcert,0.73722904920578,False,,,
die-d.top,jpcert,0.9301536083221436,False,,,
utwae.com,phishtank,0.9440279603004456,True,503.0,,
uccardservsb.shop,jpcert,0.8484166860580444,False,,,
sanjingupkxa.com,certificates,0.8582555651664734,False,,,
shfmhld.top,jpcert,0.9782604575157166,False,,,
jcbexclusiveoffers.top,certificates,0.8886259198188782,False,,,
calimesa.tk,jpcert,0.9542108774185181,False,,,
fatong360.com,certificates,0.9797872304916382,True,503.0,,
jl-wty.com,jpcert,0.9074633717536926,True,503.0,,
ekxm.cn,jpcert,0.9052718877792358,True,403.0,,
guohuichina.com,certificates,0.930193305015564,True,503.0,,
netbkk.net,certificates,0.7379734516143799,False,,,
evwit.com,certificates,0.8044987916946411,True,200.0,unknown,copyright
collesun.com,certificates,0.9860231876373291,True,502.0,,
mengcun234.cn,jpcert,0.9669579863548279,True,503.0,,
s3ss.cn,certificates,0.9246881604194641,True,503.0,,
inikembar6.com,jpcert,0.9809709191322327,False,,,
eki.nanyangbesayw.co,jpcert,0.7797437310218811,False,,,
etc-meisaizjp.cf,certificates,0.7042005062103271,False,,,
glqcyy.com,jpcert,0.8236254453659058,True,503.0,,
vponesservco.shop,jpcert,0.9722107648849487,False,,,
discovernapasonoma.com,jpcert,0.7098262310028076,False,,,
buyersagent.cn,jpcert,0.9120401740074158,False,,,
grupsahin.com,jpcert,0.8696929812431335,True,503.0,,
yenib358.top,phishtank,0.8418618440628052,False,,,
grouplfe.com,jpcert,0.8531208038330078,True,503.0,,
express-ship-del.com,phishtank,0.8857991099357605,False,,,
worldshotelscompare.com,certificates,0.8602649569511414,False,,,
myjcbxiaoliu.cc,certificates,0.8150211572647095,False,,,
mamruongontha.icu,certificates,0.833519697189331,False,,,
huiguapai.com,certificates,0.9187549948692322,True,503.0,,
cinhpgq.com,jpcert,0.8178526163101196,False,,,
smccbcerad.sbs,certificates,0.9373521208763123,False,,,
sxrunze.com,certificates,0.9747269153594971,False,,,
ce7l.cn,certificates,0.9714665412902832,False,,,
irprj.cn,jpcert,0.9583393931388855,True,503.0,,
myjcbettings.cc,jpcert,0.959143877029419,False,,,
aifulna.co,jpcert,0.780635416507721,False,,,
kaqiang.cn,certificates,0.8037957549095154,False,,,
jacobspublishers.com,jpcert,0.9719167947769165,True,200.0,True,contact|copyright
ls0onw.top,phishtank,0.8034130334854126,False,,,
c5q1jb.cn,jpcert,0.9830469489097595,True,403.0,,
mizunogolfsingapore.com,jpcert,0.9878056049346924,False,,,
hakanhamdicelik.com,jpcert,0.9286981225013733,False,,,
changyingfilm.com,certificates,0.9754966497421265,True,503.0,,
tjqcyq.com,jpcert,0.9458223581314087,True,503.0,,
dinaansg.com,certificates,0.9751495718955994,False,,,
evriserves6.today,phishtank,0.8156779408454895,False,,,
rdohzfakmnqley.top,certificates,0.9885631799697876,True,503.0,,
kuronekoyamzafto.top,jpcert,0.7684091925621033,False,,,
macbookdeal.com,jpcert,0.7394430041313171,False,,,
bqc8wxk.top,certificates,0.928665041923523,False,,,
yngsowusad.com,jpcert,0.9161757826805115,False,,,
xmminjiang.com,certificates,0.961189329624176,False,,,
iwangwangwang.com,certificates,0.8712815046310425,True,503.0,,
xvlnmuz.top,certificates,0.8655709624290466,False,,,
zlee.cc,certificates,0.9827232360839844,True,503.0,,
xxatz.cn,certificates,0.9122876524925232,False,,,
syzxyun.com,certificates,0.9679027795791626,True,503.0,,
dev.spruzzodigitalmarketing.com,jpcert,0.9711157083511353,True,406.0,,
eLECTisg.COM,certificates,0.9654680490493774,False,,,
xindangtu.com,jpcert,0.936514139175415,False,,,
medinformatik.com,certificates,0.7911494374275208,False,,,
myaupayfirmis.shop,jpcert,0.9788629412651062,False,,,
kqkyj.cn,phishtank,0.9640609622001648,True,503.0,,
kuronekoyamato.cloud,jpcert,0.9727150201797485,False,,,
app.whyuru.com,phishtank,0.9762129783630371,True,503.0,,
group86.cn,jpcert,0.9573787450790405,True,503.0,,
rpygp.cn,phishtank,0.9640609622001648,True,503.0,,
classicsfinefoods.co.uk,jpcert,0.9624060392379761,False,,,
suhqq.cn,jpcert,0.9806084632873535,True,403.0,,
adopter.shop,certificates,0.7226501107215881,False,,,
seturls.in,certificates,0.9714755415916443,False,,,
maxlsx.top,certificates,0.9878361821174622,False,,,
deeyesight.com,certificates,0.9835343956947327,True,403.0,,
ELECTunas.COM,certificates,0.9676080346107483,False,,,
suai4.com,certificates,0.9253604412078857,False,,,
smbc-cardfive.click,phishtank,0.9545869827270508,False,,,
dxlqb.cn,jpcert,0.8933837413787842,False,,,
wpspc.cn,jpcert,0.7024288773536682,True,503.0,,
kdhjjc.com,jpcert,0.9140132665634155,True,200.0,unknown,
utwar.com,phishtank,0.9526945352554321,True,503.0,,
longyingfilm.com,certificates,0.945706844329834,True,403.0,,
kristian.cn,certificates,0.9269779324531555,False,,,
saison-card.xyz,certificates,0.7127589583396912,False,,,
czxingye.cn,jpcert,0.9881978631019592,True,503.0,,
1r5-appnew.com,phishtank,0.7264405488967896,False,,,
xasmlt.com,jpcert,0.9294306635856628,False,,,
xzxmkj.com,certificates,0.9458223581314087,False,,,
homeonthemend.com,certificates,0.9548935294151306,False,,,
amgreatness.co,certificates,0.9615126252174377,False,,,
gaufo.cn,jpcert,0.80751633644104,False,,,
myjcbhaode.cc,jpcert,0.8280986547470093,False,,,
linkunshorten.com,phishtank,0.9764078855514526,True,403.0,,
activar-token-bip.0hi.me,phishtank,0.8843293786048889,True,503.0,,
