domain,source,ml_probability,dns_resolves,http_status,content_length,looks_legit,legit_indicators,phish_indicators
mnssourcing.com,jpcert,0.027220819145441055,True,200.0,258654,True,contact|privacy policy|company,
harisan.co.in,jpcert,0.02405030094087124,True,503.0,6807,,,
bbz668.com,jpcert,0.05379517748951912,True,503.0,6804,,,
promocjeallegro.pl,phishtank,0.055352214723825455,False,,0,,,
cgpdzw.top,phishtank,0.20147143304347992,True,503.0,6804,,,
serifoto.it,phishtank,0.03054952435195446,True,503.0,6805,,,
ytsantong.com,jpcert,0.01060504000633955,True,503.0,6807,,,
q14xov67.lat,phishtank,0.09025726467370987,True,503.0,6806,,,
hikk.shop,certificates,0.02353258803486824,False,,0,,,
suivi-consigne.com,phishtank,0.2946939468383789,True,503.0,6812,,,
gdwedn.com,certificates,0.03510579466819763,True,,0,,,
djpaulinhomattos.com.br,jpcert,0.015547259710729122,True,403.0,6924,,,
pvermeulenbouwservice.nl,phishtank,0.0190289244055748,True,200.0,14105,unknown,contact,
mgck.ink,phishtank,0.025257999077439308,True,200.0,28953,unknown,,
smbc-cardnm.icu,phishtank,0.16633915901184082,False,,0,,,
sunjeetcommunications.com,phishtank,0.13491781055927277,True,503.0,6819,,,
maestromovement.com,jpcert,0.021738722920417786,True,503.0,6813,,,
matjarapk.com,phishtank,0.007263571955263615,True,403.0,514,,,
eposcard.cc,jpcert,0.04032795876264572,False,,0,,,
azratechnologies.com,jpcert,0.08069860190153122,True,503.0,6814,,,
batalkan.cc,phishtank,0.04109413921833038,True,503.0,6805,,,
offerprospect.com,phishtank,0.043704159557819366,True,503.0,6811,,,
riouruguaysrl.com,jpcert,0.041524939239025116,True,503.0,6811,,,
theindayogroup.com,jpcert,0.004899294581264257,False,,0,,,
lockers-pointrelais.com,phishtank,0.1460074484348297,False,,0,,,
veggieperrins.com,jpcert,0.13605807721614838,False,,0,,,
susolucionchile.cl,phishtank,0.04036124423146248,True,503.0,6812,,,
pancretaonline-grnew.com,phishtank,0.13357873260974884,True,503.0,6818,,,
deepalkhonkaen.com,phishtank,0.029496628791093826,False,,0,,,
csesolutions.fr,jpcert,0.11599253863096237,False,,0,,,
pooljax.com,jpcert,0.26785802841186523,False,,0,,,
crbnfiwodr.xin,phishtank,0.1186799705028534,False,,0,,,
vivido-office.ro,jpcert,0.054520223289728165,True,200.0,43207,unknown,contact,
gl-projects.com,jpcert,0.10407841950654984,True,503.0,6809,,,
saraytur.com,phishtank,0.02393779531121254,True,200.0,77256,True,contact|copyright|company,
wzayeftuday.com,jpcert,0.008913927711546421,True,200.0,107071,True,contact|copyright,
paypal-home.com,phishtank,0.23975753784179688,False,,0,,,
nn-zakon.ru,phishtank,0.12358129024505615,True,503.0,6805,,,
cf-brands.com,jpcert,0.2163672149181366,True,503.0,6807,,,
kanimeospas.com,phishtank,0.03507036343216896,False,,0,,,
gestion-relay.info,phishtank,0.1787097007036209,False,,0,,,
ipf-patent.com,jpcert,0.061588238924741745,True,200.0,30757,True,contact|copyright|お問い合わせ,
maurosantos.adv.br,jpcert,0.0747445598244667,True,503.0,6812,,,
i5207.com,jpcert,0.06266485154628754,True,503.0,6803,,,
satchel.com.ar,phishtank,0.012114027515053749,True,503.0,6808,,,
smarthealthe.com,certificates,0.03719129040837288,False,,0,,,
jrailpas.com,jpcert,0.029175637289881706,False,,0,,,
rahropub.ir,jpcert,0.01643815077841282,False,,0,,,
get-bible.com,jpcert,0.12550760805606842,True,503.0,6807,,,
sea-doo.cloud,phishtank,0.05261693149805069,False,,0,,,
k5o6som8.lat,phishtank,0.055833131074905396,False,,0,,,
biepo.cn,jpcert,0.24326419830322266,False,,0,,,
nr-grp.net,jpcert,0.0972132533788681,True,200.0,78902,True,contact|copyright|お問い合わせ,
cardscc.com,certificates,0.07394173741340637,True,503.0,6805,,,
beforewemeetllc.com,jpcert,0.039066627621650696,True,406.0,226,,,
water-front.gr,phishtank,0.05065138638019562,True,503.0,6808,,,
